"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"DPK","DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,7621","11,9176","23,6959","29,5759","45,1505","121,9283","179,0588"
"KTV","KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,7973","11,8753","23,7963","29,3968","45,0263","109,9087","163,6865"
"EKF","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,9694","12,6124","25,4329","31,9537","44,9675","188,1689","275,5786"
"MJB","AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-1,0683","5,4330","18,0566","25,4666","44,9623","-","-"
"GKF","GLOBAL MD PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","-2,1644","4,9099","17,7653","41,5629","44,8730","200,6718","-"
"YJK","YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-5,1873","3,7467","12,1330","21,3988","44,8187","-","-"
"YSU","YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,6607","7,8008","19,6485","31,3629","44,7936","303,9454","426,7860"
"GLS","AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","3,3842","11,0138","22,2586","28,6751","44,7215","129,3584","204,5276"
"TZT","ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","4,9203","14,0902","24,3948","29,4604","44,6522","166,4521","240,4190"
"YEF","YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,2118","0,1172","17,8996","42,7968","44,6479","641,6265","869,9647"
"MAD","MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-9,5753","4,4075","16,9983","42,5853","44,6327","451,3336","557,3084"
"YTD","YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,0167","9,9889","21,9251","25,2592","44,5933","325,2094","718,3264"
"IYB","AURA PORTFÖY DEĞİŞKEN FONU","Değişken Şemsiye Fonu","-1,8039","3,1541","16,2152","25,3624","44,5141","244,8612","353,7471"
